"NAME","DESCRIPTION","FORMULA"
"CE6465[c]","17-hydroxy-D4-neuroprostane","C22H31O5"
"CE6467[c]","20-hydroxy-D4-neuroprostane","C22H31O5"
"CE6466[c]","20-hydroxy-E4-neuroprostane","C22H31O5"
"CE0074[c]","alloxan","C4H2N2O4"
"CE0074[e]","alloxan","C4H2N2O4"
"urate[n]","Urate","C5H4N4O3"
"urea[n]","Urea","CH4N2O"
"CE0074[n]","alloxan","C4H2N2O4"
"CE7122[c]","alpha-tocotrienoxyl radical","C29H43O2"
"C02147[c]","dihydrolipoate","C8H15O2S2"
"CE2592[c]","(S)-3-hydroxypalmitoleoyl-CoA","C37H60N7O18P3S"
"CE0853[c]","3-oxopalmitoleoyl-CoA","C37H58N7O18P3S"
"CE2592[m]","(S)-3-hydroxypalmitoleoyl-CoA","C37H60N7O18P3S"
"CE0853[m]","3-oxopalmitoleoyl-CoA","C37H58N7O18P3S"
"CE2592[x]","(S)-3-hydroxypalmitoleoyl-CoA","C37H60N7O18P3S"
"CE0853[x]","3-oxopalmitoleoyl-CoA","C37H58N7O18P3S"
"CE1102[c]","cis-(3S)-hydroxytetradec-7-enoyl-CoA","C35H56N7O18P3S"
"CE0782[c]","3-oxomyrist-7-enoyl-CoA","C35H54N7O18P3S"
"CE1102[m]","cis-(3S)-hydroxytetradec-7-enoyl-CoA","C35H56N7O18P3S"
"CE0782[m]","3-oxomyrist-7-enoyl-CoA","C35H54N7O18P3S"
"CE1102[x]","cis-(3S)-hydroxytetradec-7-enoyl-CoA","C35H56N7O18P3S"
"CE0782[x]","3-oxomyrist-7-enoyl-CoA","C35H54N7O18P3S"
"CE2597[c]","3(S)-3-hydroxydodecen-(5Z)-oyl-CoA","C33H52N7O18P3S"
"CE0692[c]","3-oxolaur-cis-5-enoyl-CoA","C33H50N7O18P3S"
"CE2597[m]","3(S)-3-hydroxydodecen-(5Z)-oyl-CoA","C33H52N7O18P3S"
"CE0692[m]","3-oxolaur-cis-5-enoyl-CoA","C33H50N7O18P3S"
"CE2597[x]","3(S)-3-hydroxydodecen-(5Z)-oyl-CoA","C33H52N7O18P3S"
"CE0692[x]","3-oxolaur-cis-5-enoyl-CoA","C33H50N7O18P3S"
"C03372[c]","1-acylglycerone 3-phosphate(2-)","C4H4O7PR"
"1ddecg3p[c]","1-acyl-sn-glycerol 3-phosphate(2-)","C15H29O7P1"
"hdcea[m]","Hexadecenoate (n-C16:1)","C16H29O2"
"hdcea[x]","Hexadecenoate (n-C16:1)","C16H29O2"
"CE0852[x]","palmitoleyl-CoA(4-)","C37H60N7O17P3S"
"CE2591[m]","trans,cis-hexadeca-2,9-dienoyl-CoA","C37H58N7O17P3S"
"CE2591[x]","trans,cis-hexadeca-2,9-dienoyl-CoA","C37H58N7O17P3S"
"CE0784[m]","cis-myrist-7-enoyl-CoA","C35H56N7O17P3S"
"CE2594[m]","trans,cis-myristo-2,7-dienoyl-CoA","C35H54N7O17P3S"
"CE0784[x]","cis-myrist-7-enoyl-CoA","C35H56N7O17P3S"
"CE2594[x]","trans,cis-myristo-2,7-dienoyl-CoA","C35H54N7O17P3S"
"CE2596[m]","trans,cis-dodeca-2,5-dienoyl-CoA","C33H50N7O17P3S"
"CE0695[m]","cis-laur-5-enoyl-CoA","C33H52N7O17P3S"
"CE2596[x]","trans,cis-dodeca-2,5-dienoyl-CoA","C33H50N7O17P3S"
"CE0695[x]","cis-laur-5-enoyl-CoA","C33H52N7O17P3S"
"CE0955[r]","6-oxo-prostaglandin F1alpha","C20H33O6"
"pail45p_hs[g]","phosphatidylinositol 4,5-bisphosphate","C9H14O15P3FULLRCO2FULLR2CO2"
"pail45p_hs[r]","phosphatidylinositol 4,5-bisphosphate","C9H14O15P3FULLRCO2FULLR2CO2"
"CE5132[c]","1-phosphatidyl-1D-myo-inositol 3,5-bisphosphate(5-)","C11H14O19P3R2"
"CE5132[g]","1-phosphatidyl-1D-myo-inositol 3,5-bisphosphate(5-)","C11H14O19P3R2"
"CE5132[n]","1-phosphatidyl-1D-myo-inositol 3,5-bisphosphate(5-)","C11H14O19P3R2"
"CE5132[r]","1-phosphatidyl-1D-myo-inositol 3,5-bisphosphate(5-)","C11H14O19P3R2"
"pail3p_hs[g]","1-phosphatidyl-1D-myo-inositol 3-phosphate(3-)","C9H15O12P2FULLRCO2FULLR2CO2"
"CE2206[c]","24-oxo-1alpha,25-dihydroxyvitamin D3","C27H42O4"
"CE2207[c]","24-oxo-1alpha,23,25-trihydroxyvitamin D3","C27H42O5"
"CE2206[m]","24-oxo-1alpha,25-dihydroxyvitamin D3","C27H42O4"
"CE2207[m]","24-oxo-1alpha,23,25-trihydroxyvitamin D3","C27H42O5"
"C03968[c]","1-alkyl-sn-glycerol 3-phosphate(1-)","C3H6O6PR"
"CE4795[m]","2-trans-cis,cis,cis,cis-4,8,11,14-eicosapentaenoyl-CoA","C41H60N7O17P3S"
"CE4795[x]","2-trans-cis,cis,cis,cis-4,8,11,14-eicosapentaenoyl-CoA","C41H60N7O17P3S"
"CE5114[x]","trans-2-cis,cis,cis-8,11,14-eicosatetraenoyl-CoA","C41H62N7O17P3S"
"CE4791[x]","3(S)-hydroxy-dihomo-gama-linolenoyl-CoA","C41H64N7O18P3S"
"CE4793[x]","3-oxo-dihomo-gama-linolenoyl-CoA","C41H62N7O18P3S"
"CE2439[x]","3-oxo-6Z,9Z,12Z-octadecatrienoyl-CoA","C39H58N7O18P3S"
"CE2440[x]","4Z,7Z,10Z-hexadecatrienoyl-CoA","C37H56N7O17P3S"
"CE2437[x]","2E,6Z,9Z,12Z-octadecatetraenoyl-CoA","C39H58N7O17P3S"
"CE2438[x]","3(S)-hydroxy-6Z,9Z,12Z-octadecatrienoyl-CoA","C39H60N7O18P3S"
"CE2442[m]","3Z,7Z,10Z-hexadecatrienoyl-CoA","C37H56N7O17P3S"
"CE2442[x]","3Z,7Z,10Z-hexadecatrienoyl-CoA","C37H56N7O17P3S"
"CE2441[x]","2E,4Z,7Z,10Z-hexadecatetraenoyl-CoA","C37H54N7O17P3S"
"CE5115[m]","trans-3-cis-5,8,11,14-eicosapentaenoyl-CoA","C41H60N7O17P3S"
"CE5115[x]","trans-3-cis-5,8,11,14-eicosapentaenoyl-CoA","C41H60N7O17P3S"
"CE5116[x]","trans-3-cis-8,11,14-eicosatetraenoyl-CoA","C41H62N7O17P3S"
"CE5117[m]","(3E,5Z,8Z)-tetradecatrienoyl-CoA","C35H52N7O17P3S"
"CE5118[m]","trans-2-cis,cis-4,8-tetradecatrienoyl-CoA","C35H52N7O17P3S"
"CE5119[m]","trans-3-cis-8-tetradecadienoyl-CoA","C35H54N7O17P3S"
"CE5120[m]","trans-2-cis-8-tetradecadienoyl-CoA","C35H54N7O17P3S"
"CE4790[m]","(3S)-3-hydroxy-cis-8-tetradecenoyl-CoA","C35H56N7O18P3S"
"CE4792[m]","3-oxo-cis-8-tetradecenoyl-CoA","C35H54N7O18P3S"
"CE4794[m]","cis-6-dodecenoyl-CoA","C33H52N7O17P3S"
"leuktrB4[m]","leukotriene B4(1-)","C20H31O4"
"leuktrB4[x]","leukotriene B4(1-)","C20H31O4"
"C04853[m]","20-hydroxy-leukotriene B4(1-)","C20H31O5"
"CE2053[m]","20-oxo-leukotriene B4","C20H29O5"
"C04853[r]","20-hydroxy-leukotriene B4(1-)","C20H31O5"
"CE2053[r]","20-oxo-leukotriene B4","C20H29O5"
"CE2053[c]","20-oxo-leukotriene B4","C20H29O5"
"CE2054[c]","20-carboxy-leukotriene-B4","C20H28O6"
"CE2054[m]","20-carboxy-leukotriene-B4","C20H28O6"
"CE2054[r]","20-carboxy-leukotriene-B4","C20H28O6"
"C05301[r]","2-Hydroxyestradiol-17beta","C18H24O3"
"C04853[c]","20-hydroxy-leukotriene B4(1-)","C20H31O5"
"CE2056[c]","20-dihydroxyleukotriene B4","C20H31O6"
"CE2056[r]","20-dihydroxyleukotriene B4","C20H31O6"
"CE3554[c]","20-trihydroxy-leukotriene-B4","C20H31O7"
"CE3554[r]","20-trihydroxy-leukotriene-B4","C20H31O7"
"CE5138[c]","12-oxo-20-hydroxy-leukotriene B4","C20H29O5"
"CE5138[r]","12-oxo-20-hydroxy-leukotriene B4","C20H29O5"
"CE5139[c]","12-oxo-20-dihydroxy-leukotriene B4","C20H29O6"
"CE5139[r]","12-oxo-20-dihydroxy-leukotriene B4","C20H29O6"
"CE5140[c]","12-oxo-20-trihydroxy-leukotriene B4","C20H29O7"
"CE5140[r]","12-oxo-20-trihydroxy-leukotriene B4","C20H29O7"
"CE5141[c]","12,20-dioxo-leukotriene B4","C20H27O5"
"CE5525[c]","12-oxo-20-carboxy-leukotriene B4","C20H26O6"
"CE2567[c]","5(S),6(S)-epoxy-15(S)-hydroxy-7E,9E,11Z,13E-eicosatetraenoic acid anion","C20H29O4"
"15HPET[n]","15(S)-HPETE(1-)","C20H31O4"
"CE2567[n]","5(S),6(S)-epoxy-15(S)-hydroxy-7E,9E,11Z,13E-eicosatetraenoic acid anion","C20H29O4"
"15HPET[r]","15(S)-HPETE(1-)","C20H31O4"
"CE2567[r]","5(S),6(S)-epoxy-15(S)-hydroxy-7E,9E,11Z,13E-eicosatetraenoic acid anion","C20H29O4"
"h2o2[r]","Hydrogen peroxide","H2O2"
"CE7172[c]","14,15-DiHETE","C20H31O4"
"CE7172[n]","14,15-DiHETE","C20H31O4"
"C06315[c]","Lipoxin B4","C20H31O5"
"C06315[n]","Lipoxin B4","C20H31O5"
"C06315[r]","Lipoxin B4","C20H31O5"
"CE2567[x]","5(S),6(S)-epoxy-15(S)-hydroxy-7E,9E,11Z,13E-eicosatetraenoic acid anion","C20H29O4"
"C06315[x]","Lipoxin B4","C20H31O5"
"C01264[c]","1-alkyl-2-acetyl-sn-glycerol 3-phosphate(2-)","C5H8O7PR"
"C06314[c]","Lipoxin A4","C20H31O5"
"C06314[r]","Lipoxin A4","C20H31O5"
"C06314[x]","Lipoxin A4","C20H31O5"
"leuktrA4[n]","leukotriene A4(1-)","C20H29O3"
"C03820[c]","1-Alkyl-2-acetyl-sn-glycerol","C5H9O4R"
"cpppg1[c]","Coproporphyrinogen I","C36H40N4O8"
"C05769[c]","Coproporphyrin I","C36H34N4O8"
"C05770[c]","Coproporphyrin III","C36H34N4O8"
"C02469[c]","Uroporphyrin III","C40H30N4O16"
"CE5122[x]","3(S)-phytanoyl-CoA","C41H70N7O17P3S"
"CE5123[x]","3(S)-2-hydroxyphytanoyl-CoA","C41H70N7O18P3S"
"CE2416[x]","(2R,6S,10S)-pristanate","C19H37O2"
"CE2414[c]","(3S,7R,11R)-phytanate","C20H39O2"
"CE5122[c]","3(S)-phytanoyl-CoA","C41H70N7O17P3S"
"CE2414[x]","(3S,7R,11R)-phytanate","C20H39O2"
"CE0932[x]","pristanate","C19H37O2"
"CE2416[c]","(2R,6S,10S)-pristanate","C19H37O2"
"CE5126[c]","(2R)-pristanoyl-CoA","C40H68N7O17P3S"
"CE2038[x]","trans-2,3-dehydropristanoyl-CoA","C40H66N7O17P3S"
"CE5934[x]","3(R)-hydroxy-pristanoyl-CoA","C40H68N7O18P3S"
"C07297[x]","3-oxopristanoyl-CoA(4-)","C40H66N7O18P3S"
"CE5935[x]","(2S,6R,10R)-trimethyl-hendecanoyl-CoA","C35H58N7O17P3S"
"CE5936[x]","(2R,6R,10R)-trimethyl-hendecanoyl-CoA","C35H58N7O17P3S"
"C07296[x]","4,8,12-trimethyltridecanoyl-CoA(4-)","C37H62N7O17P3S"
"CE5938[x]","(4R,8R,12R)-trimethyl-2E-tridecenoyl-CoA","C37H60N7O17P3S"
"CE5940[x]","3(R)-hydroxy-(4R,8R,12R)-trimethyl-tridecanoyl-CoA","C37H62N7O18P3S"
"CE5939[x]","3-oxo-(4R,8R,12R)-trimethyl-tridecanoyl-CoA","C37H60N7O18P3S"
"CE5941[x]","(2S,6R,10R)-trimethyl-2E-hendecenoyl-CoA","C35H56N7O17P3S"
"CE5942[x]","3-oxo-(2S,6R,10R)-trimethyl-hendecanoyl-CoA","C35H56N7O18P3S"
"CE4805[x]","4(R),8-dimethyl-nonanoyl-CoA","C32H52N7O17P3S"
"CE5943[x]","3(R)-hydroxy-(2S,6R,10)-trimethyl-hendecanoyl-CoA","C35H58N7O18P3S"
"dopa[l]","dopaminium(1+)","C8H12NO2"
"CE5276[l]","dopamine o-quinone","C8H10NO2"
"dopa[x]","dopaminium(1+)","C8H12NO2"
"CE4793[c]","3-oxo-dihomo-gama-linolenoyl-CoA","C41H62N7O18P3S"
"CE4793[r]","3-oxo-dihomo-gama-linolenoyl-CoA","C41H62N7O18P3S"
"CE5114[c]","trans-2-cis,cis,cis-8,11,14-eicosatetraenoyl-CoA","C41H62N7O17P3S"
"CE5114[r]","trans-2-cis,cis,cis-8,11,14-eicosatetraenoyl-CoA","C41H62N7O17P3S"
"CE4812[c]","eicosa-2E,8Z,11Z,14Z,17Z-pentaenoyl-CoA","C41H60N7O17P3S"
"CE4814[c]","(8Z,11Z,14Z,17Z)-eicosatetraenoyl-CoA","C41H62N7O17P3S"
"CE4812[r]","eicosa-2E,8Z,11Z,14Z,17Z-pentaenoyl-CoA","C41H60N7O17P3S"
"CE4814[r]","(8Z,11Z,14Z,17Z)-eicosatetraenoyl-CoA","C41H62N7O17P3S"
"CE2209[c]","5alpha-androstane-3alpha,17beta-diol","C19H32O2"
"CE4815[c]","stearidonoyl-CoA","C39H58N7O17P3S"
"CE4811[c]","3-keto-eicosa-8,11,14,17-all-cis-tetraenoyl-CoA","C41H60N7O18P3S"
"CE4815[r]","stearidonoyl-CoA","C39H58N7O17P3S"
"CE4811[r]","3-keto-eicosa-8,11,14,17-all-cis-tetraenoyl-CoA","C41H60N7O18P3S"
"C04295[c]","Androst-5-ene-3beta,17beta-diol","C19H30O2"
"C04295[m]","Androst-5-ene-3beta,17beta-diol","C19H30O2"
"5adtststerone[m]","17beta-hydroxy-5alpha-androstan-3-one","C19H30O2"
"C04295[r]","Androst-5-ene-3beta,17beta-diol","C19H30O2"
"CE4810[c]","3(S)-hydroxy-all-cis-8,11,14,17-eicosatetraenoyl-CoA","C41H62N7O18P3S"
"CE4810[r]","3(S)-hydroxy-all-cis-8,11,14,17-eicosatetraenoyl-CoA","C41H62N7O18P3S"
"lnlncacoa[r]","alpha-Linolenoyl-CoA","C39H60N7O17P3S"
"CE4821[c]","2-trans-7,10,13,16,19-all-cis-docosahexaenoyl-CoA","C43H62N7O17P3S"
"CE4822[c]","docosa-7,10,13,16,19-all-cis-pentaenoyl-CoA","C43H64N7O17P3S"
"CE4821[r]","2-trans-7,10,13,16,19-all-cis-docosahexaenoyl-CoA","C43H62N7O17P3S"
"CE4822[r]","docosa-7,10,13,16,19-all-cis-pentaenoyl-CoA","C43H64N7O17P3S"
"CE4813[c]","eicosa-5,8,11,14,17-all-cis-pentaenoyl-CoA","C41H60N7O17P3S"
"CE4819[c]","3-oxo-docosa-7,10,13,16,19-all-cis-pentaenoyl-CoA","C43H62N7O18P3S"
"CE4813[r]","eicosa-5,8,11,14,17-all-cis-pentaenoyl-CoA","C41H60N7O17P3S"
"CE4819[r]","3-oxo-docosa-7,10,13,16,19-all-cis-pentaenoyl-CoA","C43H62N7O18P3S"
"CE4817[c]","3(S)-hydroxy-docosa-7,10,13,16,19-all-cis-pentaenoyl-CoA","C43H64N7O18P3S"
"CE4817[r]","3(S)-hydroxy-docosa-7,10,13,16,19-all-cis-pentaenoyl-CoA","C43H64N7O18P3S"
"CE4816[c]","2-trans-9,12,15,18,21-all-cis-tetracosahexaenoyl-CoA","C45H66N7O17P3S"
"CE4824[c]","tetracosa-9,12,15,18,21-all-cis-pentaenoyl-CoA","C45H68N7O17P3S"
"CE4816[r]","2-trans-9,12,15,18,21-all-cis-tetracosahexaenoyl-CoA","C45H66N7O17P3S"
"CE4824[r]","tetracosa-9,12,15,18,21-all-cis-pentaenoyl-CoA","C45H68N7O17P3S"
"CE4820[c]","3-oxo-all-cis-6,9,12,15,18-tetracosapentaenoyl-CoA","C45H66N7O18P3S"
"CE4820[r]","3-oxo-all-cis-6,9,12,15,18-tetracosapentaenoyl-CoA","C45H66N7O18P3S"
"CE4818[c]","3(S)-hydroxy-tetracosa-9,12,15,18,21-all-cis-pentaenoyl-CoA","C45H68N7O18P3S"
"CE4818[r]","3(S)-hydroxy-tetracosa-9,12,15,18,21-all-cis-pentaenoyl-CoA","C45H68N7O18P3S"
"chsterol[n]","cholesterol","C27H46O"
"CE2540[c]","timnodonate","C20H29O2"
"CE2540[r]","timnodonate","C20H29O2"
"CE2313[c]","4,4-dimethylcholesta-8(9),14-dien-3beta-ol","C29H48O"
"CE2314[c]","4,4-dimethylcholesta-8(9)-en-3beta-ol","C29H50O"
"CE2313[r]","4,4-dimethylcholesta-8(9),14-dien-3beta-ol","C29H48O"
"CE2314[r]","4,4-dimethylcholesta-8(9)-en-3beta-ol","C29H50O"
"CE2315[c]","cholesta-8(9)-en-3beta-ol","C27H46O"
"lthstrl[c]","5alpha-cholest-7-en-3beta-ol","C27H46O"
"CE4826[x]","3-oxo-all-cis-6,9,12,15,18,21-tetracosahexaenoyl-CoA","C45H64N7O18P3S"
"CE4827[x]","docosa-4,7,10,13,16,19-all-cis-hexaenoyl-CoA","C43H62N7O17P3S"
"CE4828[x]","trans-2-all-cis-6,9,12,15,18,21-tetracosaheptaenoyl-CoA","C45H64N7O17P3S"
"CE4825[x]","(3S)-hydroxy-tetracosa-6,9,12,15,18,21-all-cis-hexaenoyl-CoA","C45H66N7O18P3S"
"CE6027[c]","24,25,26,27-tetranor-23-oxo-hydroxyvitamin D3","C23H34O3"
"CE5079[c]","1alpha-hydroxy-23-carboxy-24,25,26,27-tetranorvitamin D3","C23H33O4"
"CE6027[m]","24,25,26,27-tetranor-23-oxo-hydroxyvitamin D3","C23H34O3"
"CE5079[m]","1alpha-hydroxy-23-carboxy-24,25,26,27-tetranorvitamin D3","C23H33O4"
"CE4823[x]","tetracosa-6,9,12,15,18,21-all-cis-hexaenoyl-CoA","C45H66N7O17P3S"
"CE4786[c]","nisinate","C24H35O2"
"CE4823[c]","tetracosa-6,9,12,15,18,21-all-cis-hexaenoyl-CoA","C45H66N7O17P3S"
"CE4786[r]","nisinate","C24H35O2"
"CE4823[r]","tetracosa-6,9,12,15,18,21-all-cis-hexaenoyl-CoA","C45H66N7O17P3S"
"CE4827[c]","docosa-4,7,10,13,16,19-all-cis-hexaenoyl-CoA","C43H62N7O17P3S"
"CE4829[c]","adrenoyl-CoA","C43H64N7O17P3S"
"CE4827[r]","docosa-4,7,10,13,16,19-all-cis-hexaenoyl-CoA","C43H62N7O17P3S"
"CE4829[r]","adrenoyl-CoA","C43H64N7O17P3S"
"CE4830[c]","2-trans-9,12,15,18-all-cis-tetracosapentaenoyl-CoA","C45H68N7O17P3S"
"CE4837[c]","tetracosa-9,12,15,18-all-cis-tetraenoyl-CoA","C45H70N7O17P3S"
"CE4830[r]","2-trans-9,12,15,18-all-cis-tetracosapentaenoyl-CoA","C45H68N7O17P3S"
"CE4837[r]","tetracosa-9,12,15,18-all-cis-tetraenoyl-CoA","C45H70N7O17P3S"
"CE4833[c]","3-oxo-docosa-7,10,13,16-all-cis-tetraenoyl-CoA","C43H64N7O18P3S"
"CE4833[r]","3-oxo-docosa-7,10,13,16-all-cis-tetraenoyl-CoA","C43H64N7O18P3S"
"CE4831[c]","3(S)-hydroxy-docosa-7,10,13,16-all-cis-tetraenoyl-CoA","C43H66N7O18P3S"
"CE4831[r]","3(S)-hydroxy-docosa-7,10,13,16-all-cis-tetraenoyl-CoA","C43H66N7O18P3S"
"CE4835[c]","2E,7Z,10Z,13Z,16Z-docosapentaenoyl-CoA","C43H64N7O17P3S"
"CE4835[r]","2E,7Z,10Z,13Z,16Z-docosapentaenoyl-CoA","C43H64N7O17P3S"
"CE4834[c]","3-oxo-tetracosa-9,12,15,18-all-cis-tetraenoyl-CoA","C45H68N7O18P3S"
"CE4849[c]","3(S)-hydroxy-tetracosa-12,15,18,21-all-cis-tetraenoyl-CoA","C45H70N7O18P3S"
"CE4834[r]","3-oxo-tetracosa-9,12,15,18-all-cis-tetraenoyl-CoA","C45H68N7O18P3S"
"CE4849[r]","3(S)-hydroxy-tetracosa-12,15,18,21-all-cis-tetraenoyl-CoA","C45H70N7O18P3S"
"CE4832[x]","3(S)-hydroxy-tetracosa-6,9,12,15,18-all-cis-pentaenoyl-CoA","C45H68N7O18P3S"
"CE4820[x]","3-oxo-all-cis-6,9,12,15,18-tetracosapentaenoyl-CoA","C45H66N7O18P3S"
"CE4836[x]","tetracosa-6,9,12,15,18-all-cis-pentaenoyl-CoA","C45H68N7O17P3S"
"CE4838[x]","trans-2-all-cis-6,9,12,15,18-tetracosahexaenoyl-CoA","C45H66N7O17P3S"
"CE4829[x]","adrenoyl-CoA","C43H64N7O17P3S"
"CE4839[c]","6,9,12,15,18-all-cis-tetracosapentaenoate","C24H37O2"
"CE4836[c]","tetracosa-6,9,12,15,18-all-cis-pentaenoyl-CoA","C45H68N7O17P3S"
"CE4839[r]","6,9,12,15,18-all-cis-tetracosapentaenoate","C24H37O2"
"CE4836[r]","tetracosa-6,9,12,15,18-all-cis-pentaenoyl-CoA","C45H68N7O17P3S"
"CE4841[c]","3-oxoeicosa-cis,cis-11,14-dienoyl-CoA","C41H64N7O18P3S"
"CE4841[r]","3-oxoeicosa-cis,cis-11,14-dienoyl-CoA","C41H64N7O18P3S"
"CE4840[c]","(3S)-hydroxy-eicosa-cis,cis-11,14-dienoyl-CoA","C41H66N7O18P3S"
"CE4840[r]","(3S)-hydroxy-eicosa-cis,cis-11,14-dienoyl-CoA","C41H66N7O18P3S"
"CE4842[c]","trans,cis,cis-2,11,14-eicosatrienoyl-CoA","C41H64N7O17P3S"
"CE4842[r]","trans,cis,cis-2,11,14-eicosatrienoyl-CoA","C41H64N7O17P3S"
"CE4843[c]","cis,cis-11,14-eicosadienoyl-CoA","C41H66N7O17P3S"
"CE4843[r]","cis,cis-11,14-eicosadienoyl-CoA","C41H66N7O17P3S"
"CE4845[c]","3-oxo-docosa-cis,cis,cis-10,13,16-trienoyl-CoA","C43H66N7O18P3S"
"CE4845[r]","3-oxo-docosa-cis,cis,cis-10,13,16-trienoyl-CoA","C43H66N7O18P3S"
"CE4844[c]","3(S)-hydroxy-10,13,16-all-cis-docosatrienoyl-CoA","C43H68N7O18P3S"
"CE4844[r]","3(S)-hydroxy-10,13,16-all-cis-docosatrienoyl-CoA","C43H68N7O18P3S"
"CE4846[c]","trans,cis,cis,cis-2,10,13,16-docosatetraenoyl-CoA","C43H66N7O17P3S"
"CE4846[r]","trans,cis,cis,cis-2,10,13,16-docosatetraenoyl-CoA","C43H66N7O17P3S"
"CE4847[c]","cis,cis,cis-10,13,16-docosatrienoyl-CoA","C43H68N7O17P3S"
"CE4847[r]","cis,cis,cis-10,13,16-docosatrienoyl-CoA","C43H68N7O17P3S"
"CE4852[c]","trans,cis,cis,cis,cis-2,10,13,16,19-docosapentaenoyl-CoA","C43H64N7O17P3S"
"CE4854[c]","all-cis-10,13,16,19-docosatetraenoyl-CoA","C43H66N7O17P3S"
"CE4852[r]","trans,cis,cis,cis,cis-2,10,13,16,19-docosapentaenoyl-CoA","C43H64N7O17P3S"
"CE4854[r]","all-cis-10,13,16,19-docosatetraenoyl-CoA","C43H66N7O17P3S"
"CE4850[c]","3-oxo-docosa-10,13,16,19-all-cis-tetraenoyl-CoA","C43H64N7O18P3S"
"CE4850[r]","3-oxo-docosa-10,13,16,19-all-cis-tetraenoyl-CoA","C43H64N7O18P3S"
"CE4848[c]","3(S)-hydroxy-docosa-10,13,16,19-all-cis-tetraenoyl-CoA","C43H66N7O18P3S"
"CE4848[r]","3(S)-hydroxy-docosa-10,13,16,19-all-cis-tetraenoyl-CoA","C43H66N7O18P3S"
"CE4853[c]","trans,cis,cis,cis,cis-2,12,15,18,21-tetracosapentaenoyl-CoA","C45H68N7O17P3S"
"CE4855[c]","all-cis-12,15,18,21-tetracosatetraenoyl-CoA","C45H70N7O17P3S"
"CE4853[r]","trans,cis,cis,cis,cis-2,12,15,18,21-tetracosapentaenoyl-CoA","C45H68N7O17P3S"
"CE4855[r]","all-cis-12,15,18,21-tetracosatetraenoyl-CoA","C45H70N7O17P3S"
"CE4851[c]","3-oxo-tetracosa-12,15,18,21-all-cis-tetraenoyl-CoA","C45H68N7O18P3S"
"CE4851[r]","3-oxo-tetracosa-12,15,18,21-all-cis-tetraenoyl-CoA","C45H68N7O18P3S"
"CE4801[m]","3(S)-hydroxy-4(R),8-dimethyl-nonanoyl-CoA","C32H52N7O18P3S"
"CE4803[m]","3-oxo-4(R),8-dimethyl-nonanoyl-CoA","C32H50N7O18P3S"
"CE4800[m]","3(S)-hydroxy-2(S),6-dimethyl-heptanoyl-CoA","C30H48N7O18P3S"
"CE4796[m]","3-oxo-(2S)-methylisocapryloyl-CoA","C30H46N7O18P3S"
"CE4802[m]","3(S)-hydroxy-4-methyl-pentanoyl-CoA","C27H42N7O18P3S"
"CE4804[m]","3-oxo-4-methyl-pentanoyl-CoA","C27H40N7O18P3S"
"CE5049[c]","one carbon unit","CH2"
"CE4805[m]","4(R),8-dimethyl-nonanoyl-CoA","C32H52N7O17P3S"
"CE4806[m]","4(R),8-dimethyl-trans-2-nonenoyl-CoA","C32H50N7O17P3S"
"CE4798[m]","2(S),6-dimethyl-heptanoyl-CoA","C30H48N7O17P3S"
"CE4799[m]","2,6-dimethyl-trans-2-heptenoyl-CoA","C30H46N7O17P3S"
"CE4808[m]","4-methyl-pentanoyl-CoA","C27H42N7O17P3S"
"CE4807[m]","4-methyl-trans-2-pentenoyl-CoA","C27H40N7O17P3S"
"CE4797[m]","2(R),6-dimethyl-heptanoyl-CoA","C30H48N7O17P3S"
"CE1562[c]","5,6-indolequinone-2-carboxylate","C9H4NO4"
"5adtststerone[l]","17beta-hydroxy-5alpha-androstan-3-one","C19H30O2"
"5adtststerones[l]","5alpha-Dihydrotestosterone sulfate","C19H29O5S"
"5adtststerones[r]","5alpha-Dihydrotestosterone sulfate","C19H29O5S"
"CE6031[c]","androsterone sulfate","C19H29O5S"
"andrstrn[l]","androsterone","C19H30O2"
"CE6031[l]","androsterone sulfate","C19H29O5S"
"CE6031[r]","androsterone sulfate","C19H29O5S"
"CE5144[c]","3-oxo-11-cis-eicosenoyl-CoA","C41H66N7O18P3S"
"CE5144[r]","3-oxo-11-cis-eicosenoyl-CoA","C41H66N7O18P3S"
"CE5151[c]","11-cis-eicosenoyl-CoA","C41H68N7O17P3S"
"CE5152[c]","3-oxo-13cis-docosenoyl-CoA","C43H70N7O18P3S"
"CE5151[r]","11-cis-eicosenoyl-CoA","C41H68N7O17P3S"
"CE5152[r]","3-oxo-13cis-docosenoyl-CoA","C43H70N7O18P3S"
"CE5155[c]","cis-13-docosenoyl-CoA","C43H72N7O17P3S"
"CE5156[c]","3-oxo-cis-15-tetracosaenoyl-CoA","C45H74N7O18P3S"
"CE5155[r]","cis-13-docosenoyl-CoA","C43H72N7O17P3S"
"CE5156[r]","3-oxo-cis-15-tetracosaenoyl-CoA","C45H74N7O18P3S"
"CE5148[c]","3(S)-hydroxy-11-cis-eicosenoyl-CoA","C41H68N7O18P3S"
"CE5148[r]","3(S)-hydroxy-11-cis-eicosenoyl-CoA","C41H68N7O18P3S"
"CE5150[c]","trans,cis-2,11-eicosadienoyl-CoA","C41H66N7O17P3S"
"CE5150[r]","trans,cis-2,11-eicosadienoyl-CoA","C41H66N7O17P3S"
"CE5153[c]","3(S)-hydroxy-13cis-docosenoyl-CoA","C43H72N7O18P3S"
